City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Gat,IL,2021-04-11 20:12:22,31.61,34.7642,57.0,86,1,7.0
1,Punta Arenas,CL,2021-04-11 20:14:09,-53.15,-70.9167,59.0,36,0,17.27
2,Upernavik,GL,2021-04-11 20:15:06,72.7868,-56.1549,31.46,81,100,13.82
3,Victoria,HK,2021-04-11 20:12:05,22.2855,114.1577,73.0,86,91,1.01
4,East London,ZA,2021-04-11 20:15:07,-33.0153,27.9116,71.35,84,100,2.71
5,Hobart,AU,2021-04-11 20:11:17,-42.8794,147.3294,48.99,81,90,12.66
6,Haines Junction,CA,2021-04-11 20:14:21,60.7522,-137.5108,12.2,28,95,3.44
7,Benguela,AO,2021-04-11 20:14:17,-12.5763,13.4055,81.54,82,79,4.09
8,Margate,GB,2021-04-11 20:10:49,51.3813,1.3862,39.99,70,95,5.01
9,Lompoc,US,2021-04-11 20:13:48,34.6391,-120.4579,66.0,63,94,21.85
10,Westport,US,2021-04-11 20:11:27,41.1415,-73.3579,51.01,93,90,14.97
11,Ugoofaaru,MV,2021-04-11 20:15:08,5.6667,73.0,83.05,68,10,1.83
12,Bredasdorp,ZA,2021-04-11 20:15:08,-34.5322,20.0403,57.2,94,100,2.3
13,New Norfolk,AU,2021-04-11 20:14:32,-42.7826,147.0587,48.99,75,100,3.0
14,Bethel,US,2021-04-11 20:15:08,41.3712,-73.414,60.01,82,90,6.91
15,Bireun,ID,2021-04-11 20:15:09,5.203,96.7009,77.23,86,3,4.21
16,Mukhen,RU,2021-04-11 20:12:13,48.1,136.1,44.89,90,100,2.89
17,Jamestown,US,2021-04-11 20:10:47,42.097,-79.2353,63.0,55,90,5.75
18,Hobyo,SO,2021-04-11 20:05:12,5.3505,48.5268,82.78,62,60,11.43
19,Sorong,ID,2021-04-11 20:05:23,-0.8833,131.25,79.81,80,100,2.24
20,Arraial Do Cabo,BR,2021-04-11 20:12:46,-22.9661,-42.0278,86.0,69,0,11.5
21,Saint George,US,2021-04-11 20:05:14,37.1041,-113.5841,82.0,10,1,8.05
22,Komsomolskiy,UZ,2021-04-11 20:08:44,40.4272,71.7189,55.4,47,5,2.3
23,Mataura,NZ,2021-04-11 20:15:10,-46.1927,168.8643,48.0,98,78,1.99
24,Deputatskiy,RU,2021-04-11 20:05:20,69.3,139.9,-22.79,97,61,2.48
25,Cidreira,BR,2021-04-11 20:14:41,-30.1811,-50.2056,83.93,56,74,5.88
26,Ilulissat,GL,2021-04-11 20:15:11,69.2167,-51.1,33.8,51,20,17.27
27,Kapaa,US,2021-04-11 20:14:01,22.0752,-159.319,72.0,83,75,11.5
28,Homer,US,2021-04-11 20:15:11,59.6425,-151.5483,37.4,70,90,8.05
29,Campo Grande,BR,2021-04-11 20:15:11,-20.4428,-54.6464,87.8,48,40,5.75
30,Busselton,AU,2021-04-11 20:15:12,-33.65,115.3333,61.0,98,100,1.01
31,Lorengau,PG,2021-04-11 20:15:00,-2.0226,147.2712,78.37,90,100,12.03
32,Yenagoa,NG,2021-04-11 20:15:13,4.9247,6.2642,78.82,83,64,5.53
33,Mantua,IT,2021-04-11 20:05:55,45.1667,10.7833,51.01,90,100,1.01
34,Vaini,TO,2021-04-11 20:14:14,-21.2,-175.2,77.0,78,20,5.75
35,Ushuaia,AR,2021-04-11 20:15:13,-54.8,-68.3,50.0,53,75,19.57
36,Dikson,RU,2021-04-11 20:15:14,73.5069,80.5464,29.89,89,100,28.23
